"filename", "language", "Go", "HTML", "Markdown", "YAML", "Shell Script", "Go Checksum File", "JSON", "Go Module File", "TypeScript", "JSON with Comments", "JavaScript", "CSV", "XML", "vue", "SCSS", "comment", "blank", "total"
"/Users/jerichoyu/Development/Projects/go/aid297/aid/gormPool/model_attributer.go", "Go", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25, 91
"/Users/jerichoyu/Development/Projects/go/aid297/aid/gormPool/mysql_pool.go", "Go", 168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 23, 202
"/Users/jerichoyu/Development/Projects/go/aid297/aid/gormPool/postgres_pool.go", "Go", 173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 22, 206
"/Users/jerichoyu/Development/Projects/go/aid297/aid/gormPool/sql_server_pool.go", "Go", 164, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 22, 197
"/Users/jerichoyu/Development/Projects/go/aid297/aid/grpc/app.go", "Go", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/Users/jerichoyu/Development/Projects/go/aid297/aid/grpc/grpcClient/attributer.go", "Go", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 43
"/Users/jerichoyu/Development/Projects/go/aid297/aid/grpc/grpcClient/client.go", "Go", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 88
"/Users/jerichoyu/Development/Projects/go/aid297/aid/grpc/grpcClient/pool.go", "Go", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 56
"/Users/jerichoyu/Development/Projects/go/aid297/aid/grpc/grpcServer/attributer.go", "Go", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19, 103
"/Users/jerichoyu/Development/Projects/go/aid297/aid/grpc/grpcServer/pool.go", "Go", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 56
"/Users/jerichoyu/Development/Projects/go/aid297/aid/grpc/grpcServer/server.go", "Go", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19, 90
"/Users/jerichoyu/Development/Projects/go/aid297/aid/honestMan/app.go", "Go", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/jerichoyu/Development/Projects/go/aid297/aid/honestMan/errors.go", "Go", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 53
"/Users/jerichoyu/Development/Projects/go/aid297/aid/honestMan/honest_man.go", "Go", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 21, 105
"/Users/jerichoyu/Development/Projects/go/aid297/aid/httpClient/errors.go", "Go", 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 231
"/Users/jerichoyu/Development/Projects/go/aid297/aid/httpClient/httpClientV2/app.go", "Go", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/jerichoyu/Development/Projects/go/aid297/aid/httpClient/httpClientV2/http_client.go", "Go", 339, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 104, 446
"/Users/jerichoyu/Development/Projects/go/aid297/aid/httpClient/httpClientV2/http_client_attributer.go", "Go", 387, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 113, 502
